Record_number,Study_midyear,Latitude,Longitude,Biome,Ecosystem_type,MAT,MAP,Rs_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Decade,spring_ratio,summer_ratio,autumn_ratio,winter_ratio
1.0,2001.5,56.63,-99.94,Boreal,Forest,0.8,450.0,255.0,,,,,1.3,2000,,,,
2.0,2001.5,56.46,-99.97,Boreal,Forest,0.8,450.0,85.0,,,,,0.6,2000,,,,
3.0,2001.5,55.91,-98.98,Boreal,Forest,0.8,450.0,425.0,,,,,1.98,2000,,,,
4.0,2001.5,55.86,-98.48,Boreal,Forest,0.8,450.0,551.0,,,,,2.75,2000,,,,
5.0,2001.5,55.92,-98.39,Boreal,Forest,0.8,450.0,484.0,,,,,2.2,2000,,,,
6.0,2001.5,55.91,-98.52,Boreal,Forest,0.8,450.0,540.0,,,,,2.27,2000,,,,
7.0,2001.5,55.88,-98.48,Boreal,Forest,0.8,450.0,375.0,,,,,1.85,2000,,,,
8.0,2001.5,56.63,-99.94,Boreal,Forest,0.8,450.0,137.0,,,,,0.66,2000,,,,
9.0,2001.5,56.46,-99.98,Boreal,Forest,0.8,450.0,513.0,,,,,2.36,2000,,,,
10.0,2001.5,55.9,-98.98,Boreal,Forest,0.8,450.0,337.0,,,,,1.65,2000,,,,
11.0,2001.5,55.86,-98.48,Boreal,Forest,0.8,450.0,570.0,,,,,3.2,2000,,,,
12.0,2001.5,55.92,-98.39,Boreal,Forest,0.8,450.0,397.0,,,,,2.08,2000,,,,
13.0,2001.5,55.91,-98.51,Boreal,Forest,0.8,450.0,338.0,,,,,1.6,2000,,,,
14.0,2001.5,55.88,-98.48,Boreal,Forest,0.8,450.0,375.0,,,,,1.67,2000,,,,
15.0,1999.5,56.63,-99.94,Boreal,Forest,0.8,450.0,226.0,,,,,0.81,1990,,,,
16.0,1999.5,56.46,-99.97,Boreal,Forest,0.8,450.0,412.0,,,,,1.49,1990,,,,
17.0,1999.5,55.91,-98.98,Boreal,Forest,0.8,450.0,357.0,,,,,1.49,1990,,,,
18.0,1999.5,55.86,-98.48,Boreal,Forest,0.8,450.0,413.0,,,,,1.49,1990,,,,
19.0,1999.5,55.92,-98.39,Boreal,Forest,0.8,450.0,350.0,,,,,1.49,1990,,,,
20.0,1999.5,55.91,-98.52,Boreal,Forest,0.8,450.0,274.0,,,,,1.49,1990,,,,
21.0,1999.5,55.88,-98.48,Boreal,Forest,0.8,450.0,244.0,,,,,1.49,1990,,,,
22.0,1999.5,56.63,-99.94,Boreal,Forest,0.8,450.0,146.0,,,,,0.81,1990,,,,
23.0,1999.5,56.46,-99.98,Boreal,Forest,0.8,450.0,380.0,,,,,1.49,1990,,,,
24.0,1999.5,55.9,-98.98,Boreal,Forest,0.8,450.0,300.0,,,,,1.49,1990,,,,
25.0,1999.5,55.86,-98.48,Boreal,Forest,0.8,450.0,303.0,,,,,1.49,1990,,,,
26.0,1999.5,55.92,-98.39,Boreal,Forest,0.8,450.0,256.0,,,,,1.49,1990,,,,
27.0,1999.5,55.91,-98.51,Boreal,Forest,0.8,450.0,233.0,,,,,1.49,1990,,,,
28.0,1999.5,55.88,-98.48,Boreal,Forest,0.8,450.0,264.0,,,,,1.49,1990,,,,
29.0,1984.0,29.95,-82.11,Temperate,Forest,8.6,900.0,850.0,,,,,,1980,,,,
30.0,1984.0,29.95,-82.11,Temperate,Forest,8.6,900.0,1300.0,,,,,,1980,,,,
31.0,1977.0,35.99,-84.29,Temperate,Forest,13.3,1265.0,1065.0,,,,,,1970,,,,
32.0,1977.0,35.99,-84.29,Temperate,Forest,13.3,1265.0,1036.0,,,,,,1970,,,,
33.0,1991.0,46.17,-89.67,Temperate,Forest,4.2,586.0,541.0,,,,,,1990,,,,
34.0,1991.0,46.17,-89.67,Temperate,Forest,4.2,586.0,478.0,,,,,,1990,,,,
