band,variable_code,variable_description,units,SOURCE
1,aspect,The orientation of the terrain slope,Radians,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
2,carea,"Specific catchment area, the area from which rainfall flows into a river, lake, or reservoir.",Square meters,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
3,chnl_base,"Chanel network base level, the distance of each pixel to highest surrounding elevation",Meters,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
4,chnl_dist,"Distance from each pixel to the nearest channel network, stream or river",Meters,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
5,cntgad3a,Maps of countries based on GADM version 2,"Categorical, 1 value per country",https://gadm.org/
6,convergence,"Convergence index, This index is obtained by averaging the bias of the slope directions of the adjacent cells from the direction of the central cell, and subtracting 90 degrees.",The possible values of the index range from -90° to +90°,"Terrain parameter canculated at the University of Delaware using SAGA - GIS (Conrad, O., Bechtel, B., Bock, M., Dietrich, H., Fischer, E., Gerlitz, L., ...Böhner, J. (2015). System for Automated Geoscientific Analyses (SAGA) v. 2.1.4. Geosci. Model Dev. Discuss., 8, 2271–2312. doi: 10.5194/gmdd-8-2271-2015)"
7,demsre3a,Global Relief Model based on SRTM 30+ and ETOPO DEM at 1/120 arcdeegres,Meters above sea level,https://www.ngdc.noaa.gov/mgg/global/; https://lta.cr.usgs.gov/SRTM1Arc
8,etmnts3a,Long-term MODIS-estimated Evapotranspiration (MOD16),kg/m2/year,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod16a3_v006
9,evmmod3a,Mean value of the monthly MODIS EVI time series data,Radiance (W/m^2),https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13a3_v006
10,evsmod3a,Standard deviation of the monthly MODIS EVI time series data,Radiance units,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod13a3_v006
11,g01esa3a,Post-flooding or irrigated croplands (or aquatic),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
12,g01igb3a,Land cover types for 2001 based on the MODIS IGBP classes,Land cover classes,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd12q1
13,g02esa3a,Rainfed croplands,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
14,g02igb3a,Land cover types for 2002 based on the MODIS IGBP classes,Land cover classes,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd12q1
15,g03esa3a,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
16,g04esa3a,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
17,g04igb3a,Land cover types for 2004 based on the MODIS IGBP classes,Land cover classes,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd12q1
18,g05esa3a,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
19,g06esa3a,Closed (>40%) broadleaved deciduous forest (>5m),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
20,g07esa3a,Open (15-40%) broadleaved deciduous forest/woodland (>5m),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
21,g08esa3a,Closed (>40%) needleleaved evergreen forest (>5m),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
22,g09esa3a,Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
23,g10esa3a,Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
24,g10igb3a,Land cover types for 2010 based on the MODIS IGBP classes,Land cover classes,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd12q1
25,g11esa3a,Mosaic forest or shrubland (50-70%) / grassland (20-50%),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
26,g11igb3a,Land cover types for 2011 based on the MODIS IGBP classes,Land cover classes,"National Center for Atmospheric Research Staff (Eds). Last modified 10 Feb 2017. ""The Climate Data Guide: CERES: IGBP Land Classification."" Retrieved from https://climatedataguide.ucar.edu/climate-data/ceres-igbp-land-classification."
27,g12esa3a,Mosaic grassland (50-70%) / forest or shrubland (20-50%),Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
28,g12igb3a,Land cover types for 2012 based on the MODIS IGBP classes,Land cover classes,https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mcd12q1
29,g13esa3a,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
30,g14esa3a,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
31,g15esa3a,Sparse (<15%) vegetation,Percentage,http://maps.elie.ucl.ac.be/CCI/viewer/download/ESACCI-LC-Ph2-PUGv2_2.0.pdf
