Region,Month,Fertilizer_Usage_kg,Crop_Type,Crop_Area_ha,Livestock_Cows,Livestock_Pigs,Household_Energy_kWh,Renewable_Energy_Fraction,Temperature_C,Rainfall_mm,Carbon_Emission_tCO2,Year
R0103,4,106.5,Maize,37.3,0,130,296.6,0.58,23.6,70.7,5.91,2024
R0271,11,100.9,Wheat,47.4,95,196,408.8,0.5,24.9,275.5,21.63,2021
R0107,7,59.4,Maize,28.7,83,120,479.3,0.97,21.8,35.7,9.24,2022
R0072,8,122.9,Rice,29.3,53,82,146.3,0.13,30.7,285.5,3.71,2024
R0189,2,66.4,Maize,25.7,46,169,233.9,0.9,23.3,76.2,4.37,2020
R0021,12,87.3,Barley,19.7,99,61,227.8,0.69,32.2,104.8,13.68,2022
R0103,7,97.5,Rice,26.4,38,185,160.5,0.26,22.5,157.5,13.05,2022
R0122,2,171.3,Barley,32.1,29,56,424.1,0.9,10.1,126.6,8.5,2024
R0215,2,181.3,Wheat,49.4,6,0,404.0,0.43,32.4,206.9,-2.51,2019
R0088,8,95.4,Wheat,47.2,21,101,293.8,0.81,25.4,292.9,10.04,2020
R0100,2,178.8,Maize,43.8,49,187,315.1,0.39,26.0,189.8,12.6,2024
R0152,11,178.6,Barley,45.0,44,68,123.8,0.85,34.6,222.0,9.94,2020
R0131,9,164.7,Barley,26.1,73,58,322.2,0.64,7.3,44.6,6.51,2020
R0150,12,72.0,Rice,34.6,71,45,416.5,0.14,17.9,195.8,24.45,2022
R0258,1,153.5,Barley,45.3,90,105,329.5,0.65,12.2,147.1,9.76,2021
R0294,9,191.8,Barley,22.7,9,33,206.1,0.19,23.9,268.0,7.8,2020
R0192,1,152.4,Rice,48.3,13,100,367.0,0.41,29.2,128.7,2.28,2023
R0277,10,99.7,Rice,23.7,45,96,244.6,0.17,34.0,210.2,21.68,2022
R0161,10,125.1,Barley,32.0,74,152,317.9,0.02,18.6,83.9,24.1,2019
R0022,2,146.9,Maize,36.9,5,169,295.0,0.21,28.6,92.6,15.51,2021
